,Latitude,Longitude
25508,"-31,163040","28,870557"
25509,"-29,610000","28,233600"
25510,"-32,834831","27,217424"
25511,"-29,822400","27,238800"
25512,"-30,142600","27,467400"
25513,"-21,167200","26,419400"
25514,"-31,163040","28,870557"
25515,"-32,507815","28,317894"
25516,"-32,774769","26,633756"
25517,"-28,296778","31,590236"
25518,"-30,559500","22,937500"
25519,"-31,361987","29,573285"
25520,"-25,040500","25,236300"
25521,"-30,142600","27,467400"
25522,"-29,174700","27,831100"
25523,"-29,626600","27,508500"
25524,"-33,011051","27,910049"
25525,"-29,315100","27,486900"
25526,"-29,837900","27,536400"
25527,"-30,559500","22,937500"
25528,"-30,859074","29,853843"
25529,"-24,666400","25,532600"
25530,"-29,315100","27,486900"
25531,"-32,298497","27,143616"
25532,"-28,296778","31,590236"
25533,"-30,901728","28,992385"
25534,"-30,343570","28,811606"
25535,"-29,515800","28,590200"
25536,"-29,315100","27,486900"
25537,"-29,287600","29,060500"
25538,"-31,163040","28,870557"
25539,"-27,958711","26,829902"
25540,"-30,692715","28,505744"
25541,"-32,847212","27,442179"
25542,"-29,822400","27,238800"
25543,"-29,515800","28,590200"
25544,"-31,361987","29,573285"
25545,"-30,965069","28,836926"
25546,"-24,988100","25,343000"
25547,"-29,315100","27,486900"
25548,"-30,450000","28,550000"
25549,"-31,082537","29,534600"
25550,"-32,096185","28,304888"
25551,"-32,834831","27,217424"
25552,"-31,622911","29,544772"
25553,"-30,142600","27,467400"
25554,"-28,863800","28,047900"
25555,"-29,610000","28,233600"
25556,"-31,606700","28,778100"
25557,"-29,822400","27,238800"
25558,"-29,287600","29,060500"
25559,"-31,080419","29,495220"
25560,"-29,822400","27,238800"
25561,"-31,361987","29,573285"
25562,"-29,174700","27,831100"
25563,"-29,822400","27,238800"
25564,"-30,859074","29,853843"
25565,"-20,191400","32,633400"
25566,"-29,287600","29,060500"
25567,"-30,965069","28,836926"
25568,"-30,343570","28,811606"
25569,"-31,163040","28,870557"
25570,"-27,986442","26,706612"
25571,"-32,330833","28,149808"
25572,"-30,260810","29,940216"
25573,"-28,863800","28,047900"
25574,"-28,296778","31,590236"
25575,"-29,174700","27,831100"
25576,"-28,863800","28,047900"
25577,"-31,163040","28,870557"
25578,"-29,958000","27,423300"
25579,"-29,610000","28,233600"
25580,"-29,610000","28,233600"
25581,"-29,315100","27,486900"
25582,"-33,590572","26,891037"
25583,"-32,330833","28,149808"
25584,"-32,298497","27,143616"
25585,"-24,936600","25,804900"
25586,"-31,163040","28,870557"
25587,"-32,001149","27,580451"
25588,"-29,315100","27,486900"
25589,"-31,354780","25,663952"
25590,"-32,507815","28,317894"
25591,"-24,823400","24,714300"
25592,"-30,277900","27,870700"
25593,"-30,343570","28,811606"
25594,"-29,822400","27,238800"
25595,"-30,111500","28,679000"
25596,"-29,501800","27,642000"
25597,"-33,011051","27,910049"
25598,"-32,933245","27,776556"
25599,"-23,836700","25,283800"
25600,"-31,361987","29,573285"
25601,"-31,163040","28,870557"
25602,"-29,610000","28,233600"
25603,"-32,818513","26,988124"
25604,"-31,606700","28,778100"
25605,"-31,622911","29,544772"
25606,"-30,559500","22,937500"
25607,"-30,859074","29,853843"
25608,"-32,818513","26,988124"
25609,"-32,036785","27,819944"
25610,"-32,787493","26,834396"
25611,"-29,174700","27,831100"
25612,"-31,361987","29,573285"
25613,"-29,610000","28,233600"
25614,"-33,590572","26,891037"
25615,"-32,001149","27,580451"
25616,"-28,863800","28,047900"
25617,"-32,036785","27,819944"
25618,"-29,315100","27,486900"
25619,"-28,863800","28,047900"
25620,"-30,995291","29,518219"
25621,"-24,936600","25,804900"
25622,"-28,863800","28,047900"
25623,"-32,774769","26,633756"
25624,"-32,330833","28,149808"
25625,"-29,822400","27,238800"
25626,"-28,863800","28,047900"
25627,"-31,080419","29,495220"
25628,"-32,330833","28,149808"
25629,"-29,515800","28,590200"
25630,"-32,001149","27,580451"
25631,"-32,570760","27,423961"
25632,"-30,142600","27,467400"
25633,"-31,050667","30,227994"
25634,"-28,664489","27,430481"
25635,"-30,901728","28,992385"
25636,"-29,315100","27,486900"
25637,"-29,822400","27,238800"
25638,"-32,933245","27,776556"
25639,"-29,123036","26,773654"
25640,"-31,622911","29,544772"
25641,"-29,174700","27,831100"
25642,"-29,822400","27,238800"
25643,"-30,111500","28,679000"
25644,"-24,776300","25,414100"
25645,"-27,958711","26,829902"
25646,"-28,873682","27,881286"
25647,"-33,011051","27,910049"
25648,"-29,174700","27,831100"
25649,"-29,287600","29,060500"
25650,"-29,822400","27,238800"
25651,"-29,610000","28,233600"
25652,"-24,666400","25,532600"
25653,"-27,854904","26,365827"
25654,"-33,499804","26,829402"
25655,"-32,096185","28,304888"
25656,"-29,822400","27,238800"
25657,"-29,842100","28,049700"
25658,"-31,163040","28,870557"
25659,"-31,082537","29,534600"
25660,"-30,859074","29,853843"
25661,"-29,315100","27,486900"
25662,"-28,529602","28,800361"
25663,"-30,142600","27,467400"
25664,"-29,287600","29,060500"
25665,"-27,754306","26,643825"
25666,"-32,298497","27,143616"
25667,"-30,866667","29,633333"
25668,"-29,287600","29,060500"
25669,"-32,880310","27,394544"
25670,"-32,001149","27,580451"
